Id,Kazakh,Russian,English,Level
1,танысу,знакомство,acquaintance,A1
2,Сәлем!,Привет!,Hello!,A1
3,сәлемдесу,приветствие,greeting,A1
4,Сәлеметсіз бе!,Здравствуйте!,Hello!,A1
5,Қош келдіңіз!,Добро пожаловать!,You are welcome!,A1
6,Қайырлы таң!,Доброе утро!,Good morning!,A1
7,Қайырлы күн!,Добрый день!,Good afternoon!,A1
8,Қайырлы кеш!,Добрый вечер!,Good evening!,A1
9,Қайырлы түн!,Доброй ночи!,Good night!,A1
10,Қалыңыз қалай?,Как Ваши дела?,How are you?,A1
11,Қалайсыз (қалайсың)?,Как Вы (ты)?,How are you?,A1
12,тамаша,отлично,very good,A1
13,жақсы,"хорошо, хороший",good,A1
14,жаман,плохо,bad,A1
15,рақмет,спасибо,thank you,A1
16,жаңалық,новость,news,A1
17,бар,есть,there is,A1
18,жоқ,нет,no,A1
19,иә,да,yes,A1
20,және,и,and,A1
21,таныс болайық,будем знакомы,we will know each other,A1
22,әрине,конечно,оf course,A1
23,қуаныш,радость,happiness,A1
24,кездесу,"встреча, встречаться","meeting, to meet",A1
25,бұрын,раньше,before,A1
26,рұқсат етіңіз,разрешите,allow me,A1
27,кешіріңіз,простите,excuse me,A1
28,айтыңызшы,"подскажите, пожалуйста",tell me please,A1
29,қарындас,девушка (обращение,a girl (a man’s address to,A1
30,бойжеткен,девушка,girl,A1
31,жігіт,парень,boy,A1
32,қыз,девочка,girl,A1
33,қарағым,ласковое обращение к,caressing the younger,A1
34,әріптес,коллега,colleagues,A1
35,мен,я,I,A1
36,сен,ты,you,A1
37,Сіз,Вы,you,A1
38,ол,"он, она","he, she",A1
39,біз,мы,we,A1
40,кім? не?,кто? что?,who? what?,A1
41,қайда?,где?,where?,A1
42,қалай?,как?,how?,A1
43,қандай?,какой?,which?,A1
44,кімдікі?,чей?,whose?,A1
45,аты,имя,name,A1
46,тегі,фамилия,surname,A1
47,ұлты,национальность,natonality,A1
48,қазақ,казах,kazakh,A1
49,орыс,"русский, русская",russian,A1
50,алғыс айту,благодарить,thank,A1
51,шын жүректен,от всей души,heartily,A1
52,өтініш айту,выражать просьбу,request,A1
53,қоштасу,прощание,saying goodbye,A1
54,Сау болыңыз!,До свидания!,Bye!,A1
55,Кездескенше!,До встречи!,See you!,A1
56,Бәрі сәтті болсын!,Всего хорошего!,Good luck!,A1
57,Жолыңыз болсын!,Счастливого пути!,Have a good trip!,A1
58,хабарласу,быть на связи,be in touch,A1
59,отбасы,семья,family,A1
60,ата,дедушка,grandfather / grandad,A1
61,әже,бабушка,grandmother /grandma,A1
62,әке,отец,father,A1
63,ана,мать,mother,A1
64,әпке,старшая сестра,elder  sister,A1
65,аға,старший брат,elder brother,A1
66,ағайынды,братья,brothers,A1
67,іні,младший брат,younger brother,A1
68,сіңлі,обращение старшей,younger sister,A1
69,бала,ребёнок/мальчик,boy,A1
70,ұл,сын,son,A1
71,бауыр,кровный родственник,relative,A1
72,күйеу,муж,husband,A1
73,әйел,"жена, женщина",wife,A1
74,құрбы,подруга,friend,A1
75,дос,друг,friend,A1
76,құрдас,ровестник,coeval,A1
77,үлкен,старший,older,A1
78,кіші,младший,elder,A1
79,жас,возраст,age,A1
80,еркек,мужчина,male,A1
81,қарт адам,старый человек,old man,A1
82,қарт әйел,пожилая женщина,old lady,A1
83,зейнеткер,пенсионер(-ка),pensioner,A1
84,көрші,сосед,neighbour,A1
85,үйлену,жениться,to marry,A1
86,тұрмыста,замужняя,married,A1
87,шағын,небольшой,small,A1
88,бақытты,счастливый,happy,A1
89,қызықты,интересный,interesting,A1
90,махаббат,любовь,love,A1
91,көңіл күй,настроение,mood,A1
92,күлкі,смех,laughter,A1
93,қуану,радоваться,to be happy,A1
